customer_unique_id,Recency_Days,Frequency,Monetary_Value
559026a1299bd2ede976c8d516d92258,181,1,11380.50
edaf4daaef4cd93ac92da6a30d7621ab,70,1,5210.50
edde2314c6c30e864a128ac95d6b2112,26,1,4513.32
69afe7c27aadfa869ed76ef5342a4b76,78,1,4506.48
663e9fc2ff0fe9e5cf1f4427f321e75a,427,1,4461.92
cb26f33c1b5055d997cc798dc94790d5,285,1,4281.75
fa562ef24d41361e476e748681810e1e,153,1,4175.26
5f61b10d70849d46be5643b7453e1708,693,1,3751.20
a35a5dd77ca1643b8f45340f5cd94606,110,1,3617.37
7b4a91076722dc7d9922d8645b65ff89,104,1,3346.11
74092b9d4919431b8b4c02fd8569bccd,75,1,3271.08
7c3bbffb69459f6a3663d85b707cd681,278,1,3246.48
4852ba4cb09d03a665c840db8e61a749,326,1,3121.56
0096c18412349537abc45e350581cbbc,533,1,3080.96
25bedfc6317ec4a379ef49b9c1049733,123,1,2818.74
d130666a33d3681209c5c752fe56ee10,305,1,2791.52
81d8bf17c9e450228efeedd2603edfaa,429,1,2784.16
13d9920a16127351540bcd95ad4643c8,251,1,2733.63
fbd4d7e33bef85ee6e10995ad94ef88a,362,1,2598.56
5b409ca5e4383fcfa2d21b68c21e5a04,422,1,2570.48
c2bffaf8747e77b4c0b4e38421e3bf29,34,1,2512.26
9832ae2f7d3e5fa4c7a1a06e9551bc61,127,1,2497.50
c3ad54d23737424e27df79e49a86a673,134,1,2324.75
e53c8c54148520d235362a261a88573b,260,1,2250.08
669e44130af1f9e6d3523ab852672374,524,1,2168.60
d16f2966cda34d01f661bfc50635edb2,245,1,2153.49
cad51aa032a0834a45c27586bce31d1c,469,1,2150.81
00adeda9b742746c0c66e10d00ea1b74,295,1,2148.40
fcf38c68b308ef4f51873eeb966ceb75,320,1,2120.13
83486a65903aefe02ed3bac7c23b5f65,93,1,2075.48
5a15fc7bce04e1882484322d3a742591,106,1,2075.00
918c2334c6537fd745c6aea1e3fe54f8,378,1,2065.35
e197b5ef3ad3220f87041f2475b37c81,142,1,2048.12
26745aefcbade7bf038c84f9529ba5b1,305,1,2039.31
82c0c03a1fb8968a30707374c8566fba,274,1,2032.04
0b5da348e71b60d46741d90a45a8bc10,543,1,2006.88
7f3086687b82f7e38ec873f2e1a259d5,53,1,1953.15
2f2b167cb3ef14988b2a1c194e11a790,148,1,1944.96
ff20fff170ed80db557b344c839df854,406,1,1925.46
89be58cbdd6ef318e3ed93fdb22be178,156,2,1910.00
9a27ad21d3df090fd9c8bc50f9899390,109,1,1908.48
49223558dc36c20e8577f85e82c23a55,9,1,1907.42
5ed5ff23e88328ba909334ac76a282f9,238,1,1885.68
7e1dc025d12dd45046852917926fbd2e,455,1,1878.39
114c08b859e275589938f3af9b2c6773,157,1,1866.60
